epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-06,13,PB,Alagoa Grande,2500304,city,3,10.52779,0,0,0,0.0,28496,False,True
19,2020-05-06,15,PB,Alagoa Nova,2500403,city,1,4.79639,0,0,0,0.0,20849,False,True
19,2020-05-06,3,PB,Alagoinha,2500502,city,1,6.90179,0,0,0,0.0,14489,False,True
19,2020-05-06,8,PB,Alhandra,2500601,city,8,40.84133,0,2,0,0.25,19588,False,True
19,2020-05-06,9,PB,Araçagi,2500809,city,3,17.66056,0,0,0,0.0,16987,False,True
19,2020-05-06,12,PB,Areia,2501104,city,1,4.38231,0,0,0,0.0,22819,False,True
19,2020-05-06,15,PB,Barra de São Miguel,2501708,city,1,16.56726,0,0,0,0.0,6036,False,True
19,2020-05-06,29,PB,Bayeux,2501807,city,45,46.44922,0,3,0,0.0667,96880,False,True
19,2020-05-06,17,PB,Bom Jesus,2502201,city,1,39.04725,0,0,0,0.0,2561,False,True
19,2020-05-06,12,PB,Boqueirão,2502508,city,1,5.61672,0,1,0,1.0,17804,False,True
19,2020-05-06,13,PB,Brejo do Cruz,2502805,city,1,7.08115,0,1,0,1.0,14122,False,True
19,2020-05-06,13,PB,Caaporã,2503001,city,5,22.90636,0,0,0,0.0,21828,False,True
19,2020-05-06,36,PB,Cabedelo,2503209,city,51,75.29231,0,4,0,0.0784,67736,False,True
19,2020-05-06,6,PB,Caiçara,2503605,city,1,13.88696,0,0,0,0.0,7201,False,True
19,2020-05-06,16,PB,Cajazeiras,2503704,city,13,20.97011,0,1,0,0.0769,61993,False,True
19,2020-05-06,41,PB,Campina Grande,2504009,city,74,18.06063,0,2,0,0.027,409731,False,True
19,2020-05-06,2,PB,Capim,2504033,city,1,15.33037,0,0,0,0.0,6523,False,True
19,2020-05-06,6,PB,Casserengue,2504157,city,1,13.39047,0,0,0,0.0,7468,False,True
19,2020-05-06,9,PB,Catingueira,2504207,city,1,20.27575,0,0,0,0.0,4932,False,True
19,2020-05-06,16,PB,Conde,2504603,city,18,72.96311,0,1,0,0.0556,24670,False,True
19,2020-05-06,19,PB,Congo,2504702,city,1,20.89427,0,0,0,0.0,4786,False,True
19,2020-05-06,15,PB,Coremas,2504801,city,3,19.42376,0,0,0,0.0,15445,False,True
19,2020-05-06,13,PB,Coxixola,2504850,city,3,156.16866,0,0,0,0.0,1921,False,True
19,2020-05-06,16,PB,Cruz do Espírito Santo,2504900,city,7,40.41804,0,1,0,0.1429,17319,False,True
19,2020-05-06,11,PB,Esperança,2506004,city,2,6.05932,0,0,0,0.0,33007,False,True
19,2020-05-06,14,PB,Guarabira,2506301,city,28,47.59234,0,0,0,0.0,58833,False,True
19,2020-05-06,12,PB,Gurinhém,2506400,city,2,14.15528,0,0,0,0.0,14129,False,True
19,2020-05-06,45,PB,Igaracy,2502607,city,1,16.34788,0,0,0,0.0,6117,False,True
19,2020-05-06,6,PB,Imaculada,2506707,city,3,25.38286,0,0,0,0.0,11819,False,True
19,2020-05-06,16,PB,Itabaiana,2506905,city,2,8.17094,0,0,0,0.0,24477,False,True
19,2020-05-06,13,PB,Itaporanga,2507002,city,1,4.04989,0,0,0,0.0,24692,False,True
19,2020-05-06,15,PB,Itapororoca,2507101,city,4,21.43163,0,0,0,0.0,18664,False,True
19,2020-05-06,50,PB,João Pessoa,2507507,city,865,106.92014,0,44,0,0.0509,809015,False,True
19,2020-05-06,34,PB,Junco do Seridó,2507804,city,3,41.95804,0,1,0,0.3333,7150,False,True
