regiao;estado;data;casosNovos;casosAcumulados;obitosNovos;obitosAcumulados
Nordeste;PB;18/03/2020;0;0;0;0
Nordeste;PB;19/03/2020;1;1;0;0
Nordeste;PB;20/03/2020;0;1;0;0
Nordeste;PB;21/03/2020;0;1;0;0
Nordeste;PB;22/03/2020;0;1;0;0
Nordeste;PB;23/03/2020;1;2;0;0
Nordeste;PB;24/03/2020;1;3;0;0
Nordeste;PB;25/03/2020;0;3;0;0
Nordeste;PB;26/03/2020;2;5;0;0
Nordeste;PB;27/03/2020;4;9;0;0
Nordeste;PB;28/03/2020;5;14;0;0
Nordeste;PB;29/03/2020;0;14;0;0
Nordeste;PB;30/03/2020;1;15;0;0
Nordeste;PB;31/03/2020;2;17;0;0
Nordeste;PB;01/04/2020;3;20;1;1
Nordeste;PB;02/04/2020;1;21;0;1
Nordeste;PB;03/04/2020;8;29;0;1
Nordeste;PB;04/04/2020;3;32;1;2
Nordeste;PB;05/04/2020;2;34;2;4
Nordeste;PB;06/04/2020;1;35;0;4
Nordeste;PB;07/04/2020;1;36;0;4
Nordeste;PB;08/04/2020;5;41;0;4
Nordeste;PB;09/04/2020;14;55;3;7
Nordeste;PB;10/04/2020;24;79;4;11
Nordeste;PB;11/04/2020;6;85;0;11
Nordeste;PB;12/04/2020;16;101;2;13
Nordeste;PB;13/04/2020;10;111;0;13
Nordeste;PB;14/04/2020;25;136;3;16
Nordeste;PB;15/04/2020;15;151;5;21
Nordeste;PB;16/04/2020;14;165;3;24
Nordeste;PB;17/04/2020;30;195;2;26
Nordeste;PB;18/04/2020;10;205;0;26
Nordeste;PB;19/04/2020;31;236;3;29
Nordeste;PB;20/04/2020;9;245;3;32
Nordeste;PB;21/04/2020;18;263;1;33
