epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-06-29,57,AM,Alvarães,1300029,city,926,5772.70744,0,13,0,0.014,16041,False,True
27,2020-06-29,67,AM,Amaturá,1300060,city,409,3545.42302,0,8,0,0.0196,11536,False,True
27,2020-06-29,77,AM,Anamã,1300086,city,282,2071.39709,0,0,0,0.0,13614,False,True
27,2020-06-29,93,AM,Anori,1300102,city,566,2693.95526,0,10,0,0.0177,21010,False,True
27,2020-06-29,53,AM,Apuí,1300144,city,42,191.14368,0,0,0,0.0,21973,False,True
27,2020-06-29,61,AM,Atalaia do Norte,1300201,city,485,2434.61674,0,2,0,0.0041,19921,False,True
27,2020-06-29,71,AM,Autazes,1300300,city,956,2416.27701,0,27,0,0.0282,39565,False,True
27,2020-06-29,69,AM,Barcelos,1300409,city,907,3297.94197,0,22,0,0.0243,27502,False,True
27,2020-06-29,59,AM,Barreirinha,1300508,city,602,1878.84273,0,7,0,0.0116,32041,False,True
27,2020-06-29,69,AM,Benjamin Constant,1300607,city,1458,3391.9598,0,27,0,0.0185,42984,False,True
27,2020-06-29,70,AM,Beruri,1300631,city,394,2002.13425,0,6,0,0.0152,19679,False,True
27,2020-06-29,58,AM,Boa Vista do Ramos,1300680,city,193,1004.84198,0,2,0,0.0104,19207,False,True
27,2020-06-29,96,AM,Boca do Acre,1300706,city,625,1821.73254,0,10,0,0.016,34308,False,True
27,2020-06-29,64,AM,Borba,1300805,city,432,1049.53718,0,17,0,0.0394,41161,False,True
27,2020-06-29,67,AM,Caapiranga,1300839,city,146,1116.12262,0,4,0,0.0274,13081,False,True
27,2020-06-29,72,AM,Canutama,1300904,city,89,569.45422,0,0,0,0.0,15629,False,True
27,2020-06-29,75,AM,Carauari,1301001,city,500,1767.15912,0,6,0,0.012,28294,False,True
27,2020-06-29,80,AM,Careiro,1301100,city,918,2424.1464,0,13,0,0.0142,37869,False,True
27,2020-06-29,91,AM,Careiro da Várzea,1301159,city,78,258.06452,0,4,0,0.0513,30225,False,True
27,2020-06-29,74,AM,Coari,1301209,city,3710,4359.73066,0,82,0,0.0221,85097,False,True
27,2020-06-29,67,AM,Codajás,1301308,city,140,488.87802,0,3,0,0.0214,28637,False,True
27,2020-06-29,60,AM,Eirunepé,1301407,city,438,1241.74298,0,0,0,0.0,35273,False,True
27,2020-06-29,67,AM,Fonte Boa,1301605,city,564,3202.9076,0,16,0,0.0284,17609,False,True
27,2020-06-29,47,AM,Guajará,1301654,city,406,2434.34465,0,1,0,0.0025,16678,False,True
27,2020-06-29,65,AM,Humaitá,1301704,city,679,1232.75236,0,15,0,0.0221,55080,False,True
27,2020-06-29,33,AM,Ipixuna,1301803,city,4,13.473,0,0,0,0.0,29689,False,True
27,2020-06-29,86,AM,Iranduba,1301852,city,1218,2521.94799,0,39,0,0.032,48296,False,True
27,2020-06-29,93,AM,Itacoatiara,1301902,city,1469,1449.6186,0,53,0,0.0361,101337,False,True
27,2020-06-29,48,AM,Itamarati,1301951,city,288,3668.32251,0,2,0,0.0069,7851,False,True
27,2020-06-29,65,AM,Itapiranga,1302009,city,513,5607.78312,0,6,0,0.0117,9148,False,True
27,2020-06-29,50,AM,Japurá,1302108,city,256,9292.19601,0,1,0,0.0039,2755,False,True
27,2020-06-29,72,AM,Juruá,1302207,city,215,1461.39206,0,2,0,0.0093,14712,False,True
27,2020-06-29,85,AM,Jutaí,1302306,city,248,1732.20647,0,13,0,0.0524,14317,False,True
27,2020-06-29,77,AM,Lábrea,1302405,city,483,1048.42736,0,7,0,0.0145,46069,False,True
27,2020-06-29,95,AM,Manacapuru,1302504,city,3120,3204.04202,0,124,0,0.0397,97377,False,True
27,2020-06-29,68,AM,Manaquiri,1302553,city,243,756.89145,0,12,0,0.0494,32105,False,True
27,2020-06-29,109,AM,Manaus,1302603,city,27122,1242.55359,0,1770,0,0.0653,2182763,False,True
27,2020-06-29,83,AM,Manicoré,1302702,city,207,371.29379,0,4,0,0.0193,55751,False,True
27,2020-06-29,69,AM,Maraã,1302801,city,199,1091.96664,0,3,0,0.0151,18224,False,True
27,2020-06-29,81,AM,Maués,1302900,city,967,1513.18363,0,31,0,0.0321,63905,False,True
