epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
38,2020-09-15,110,SC,Abdon Batista,4200051,city,120,4682.01327,0,0,0,0.0,2563,True,False
38,2020-09-15,128,SC,Abelardo Luz,4200101,city,321,1792.89544,0,5,0,0.0156,17904,True,False
38,2020-09-15,113,SC,Agrolândia,4200200,city,172,1583.2106,0,5,0,0.0291,10864,True,False
38,2020-09-15,121,SC,Agronômica,4200309,city,83,1523.49486,0,3,0,0.0361,5448,True,False
38,2020-09-15,136,SC,Água Doce,4200408,city,123,1721.48355,0,3,0,0.0244,7145,True,False
38,2020-09-15,141,SC,Águas de Chapecó,4200507,city,48,740.0555,0,0,0,0.0,6486,True,False
38,2020-09-15,113,SC,Águas Frias,4200556,city,76,3212.17244,9,0,0,0.0,2366,True,False
38,2020-09-15,163,SC,Águas Mornas,4200606,city,152,2349.66765,0,2,0,0.0132,6469,True,False
38,2020-09-15,113,SC,Alfredo Wagner,4200705,city,189,1883.22041,5,1,0,0.0053,10036,True,False
38,2020-09-15,137,SC,Alto Bela Vista,4200754,city,20,1032.52452,0,0,0,0.0,1937,True,False
38,2020-09-15,125,SC,Anchieta,4200804,city,31,549.84037,0,1,0,0.0323,5638,True,False
38,2020-09-15,81,SC,Angelina,4200903,city,92,1916.26744,1,0,0,0.0,4801,True,False
38,2020-09-15,162,SC,Anita Garibaldi,4201000,city,239,3350.62386,0,1,0,0.0042,7133,True,False
38,2020-09-15,83,SC,Anitápolis,4201109,city,55,1701.73267,0,0,0,0.0,3232,True,False
38,2020-09-15,173,SC,Antônio Carlos,4201208,city,275,3230.35358,2,11,0,0.04,8513,True,False
38,2020-09-15,98,SC,Apiúna,4201257,city,81,753.97934,0,3,0,0.037,10743,True,False
38,2020-09-15,153,SC,Arabutã,4201273,city,74,1734.23951,0,1,0,0.0135,4267,True,False
38,2020-09-15,141,SC,Araquari,4201307,city,803,2106.00855,-1,11,0,0.0137,38129,True,False
38,2020-09-15,166,SC,Araranguá,4201406,city,2022,2963.59266,11,40,1,0.0198,68228,True,False
38,2020-09-15,153,SC,Armazém,4201505,city,250,2882.17662,1,5,0,0.02,8674,True,False
38,2020-09-15,104,SC,Arroio Trinta,4201604,city,63,1774.64789,0,0,0,0.0,3550,True,False
38,2020-09-15,135,SC,Arvoredo,4201653,city,47,2098.21429,1,1,0,0.0213,2240,True,False
38,2020-09-15,111,SC,Ascurra,4201703,city,140,1764.5576,0,2,0,0.0143,7934,True,False
38,2020-09-15,122,SC,Atalanta,4201802,city,35,1090.34268,0,0,0,0.0,3210,True,False
38,2020-09-15,160,SC,Aurora,4201901,city,69,1215.00264,0,0,0,0.0,5679,True,False
38,2020-09-15,175,SC,Balneário Arroio do Silva,4201950,city,391,2991.35491,2,6,0,0.0153,13071,True,False
38,2020-09-15,145,SC,Balneário Barra do Sul,4202057,city,472,4372.39463,4,4,0,0.0085,10795,True,False
38,2020-09-15,182,SC,Balneário Camboriú,4202008,city,6988,4910.92449,19,86,0,0.0123,142295,True,False
38,2020-09-15,165,SC,Balneário Gaivota,4202073,city,154,1402.67784,0,6,0,0.039,10979,True,False
38,2020-09-15,160,SC,Balneário Piçarras,4212809,city,761,3287.68307,2,9,0,0.0118,23147,True,False
38,2020-09-15,134,SC,Balneário Rincão,4220000,city,361,2829.15361,2,9,0,0.0249,12760,True,False
38,2020-09-15,66,SC,Bandeirante,4202081,city,10,373.41299,0,0,0,0.0,2678,True,False
38,2020-09-15,35,SC,Barra Bonita,4202099,city,3,178.89088,0,0,0,0.0,1677,True,False
38,2020-09-15,160,SC,Barra Velha,4202107,city,717,2458.17334,2,14,0,0.0195,29168,True,False
38,2020-09-15,100,SC,Bela Vista do Toldo,4202131,city,6,94.68203,0,0,0,0.0,6337,True,False
38,2020-09-15,74,SC,Belmonte,4202156,city,5,184.77458,0,0,0,0.0,2706,True,False
38,2020-09-15,137,SC,Benedito Novo,4202206,city,146,1253.00378,0,2,0,0.0137,11652,True,False
38,2020-09-15,167,SC,Biguaçu,4202305,city,1958,2859.18722,9,33,0,0.0169,68481,True,False
38,2020-09-15,178,SC,Blumenau,4202404,city,11205,3136.90688,68,148,2,0.0132,357199,True,False
38,2020-09-15,103,SC,Bocaina do Sul,4202438,city,27,777.20207,0,2,0,0.0741,3474,True,False
38,2020-09-15,134,SC,Bombinhas,4202453,city,1150,5817.18853,2,8,0,0.007,19769,True,False
38,2020-09-15,105,SC,Bom Jardim da Serra,4202503,city,102,2150.53763,0,1,0,0.0098,4743,True,False
38,2020-09-15,99,SC,Bom Jesus,4202537,city,89,2956.81063,0,0,0,0.0,3010,True,False
38,2020-09-15,58,SC,Bom Jesus do Oeste,4202578,city,23,1073.76284,0,1,0,0.0435,2142,True,False
38,2020-09-15,89,SC,Bom Retiro,4202602,city,91,913.10456,0,4,0,0.044,9966,True,False
38,2020-09-15,163,SC,Botuverá,4202701,city,153,2916.50782,0,0,0,0.0,5246,True,False
38,2020-09-15,185,SC,Braço do Norte,4202800,city,2181,6520.17937,6,16,0,0.0073,33450,True,False
38,2020-09-15,99,SC,Braço do Trombudo,4202859,city,46,1228.96073,0,1,0,0.0217,3743,True,False
38,2020-09-15,101,SC,Brunópolis,4202875,city,28,1157.02479,0,1,0,0.0357,2420,True,False
38,2020-09-15,172,SC,Brusque,4202909,city,5367,3983.72958,67,54,2,0.0101,134723,True,False
38,2020-09-15,160,SC,Caçador,4203006,city,686,872.82906,20,19,0,0.0277,78595,True,False
38,2020-09-15,112,SC,Caibi,4203105,city,41,666.88354,0,2,0,0.0488,6148,True,False
38,2020-09-15,81,SC,Calmon,4203154,city,8,239.09145,0,0,0,0.0,3346,True,False
38,2020-09-15,175,SC,Camboriú,4203204,city,2604,3137.76525,21,42,0,0.0161,82989,True,False
38,2020-09-15,134,SC,Campo Alegre,4203303,city,163,1360.82819,1,5,0,0.0307,11978,True,False
38,2020-09-15,69,SC,Campo Belo do Sul,4203402,city,81,1154.50399,0,1,0,0.0123,7016,True,False
38,2020-09-15,134,SC,Campo Erê,4203501,city,84,985.22167,4,0,0,0.0,8526,True,False
38,2020-09-15,121,SC,Campos Novos,4203600,city,1318,3636.46397,4,15,0,0.0114,36244,True,False
38,2020-09-15,175,SC,Canelinha,4203709,city,502,4101.30719,3,8,0,0.0159,12240,True,False
38,2020-09-15,133,SC,Canoinhas,4203808,city,517,950.35018,3,9,0,0.0174,54401,True,False
38,2020-09-15,70,SC,Capão Alto,4203253,city,10,396.0396,0,1,0,0.1,2525,True,False
38,2020-09-15,116,SC,Capinzal,4203907,city,1773,7759.97899,14,8,1,0.0045,22848,True,False
38,2020-09-15,156,SC,Capivari de Baixo,4203956,city,893,3590.52712,0,12,1,0.0134,24871,True,False
38,2020-09-15,151,SC,Catanduvas,4204004,city,181,1666.51321,1,1,0,0.0055,10861,True,False
38,2020-09-15,136,SC,Caxambu do Sul,4204103,city,92,2526.08457,5,1,0,0.0109,3642,True,False
38,2020-09-15,79,SC,Celso Ramos,4204152,city,81,2969.20821,0,1,0,0.0123,2728,True,False
38,2020-09-15,56,SC,Cerro Negro,4204178,city,43,1376.44046,1,0,0,0.0,3124,True,False
38,2020-09-15,56,SC,Chapadão do Lageado,4204194,city,32,1070.95047,0,1,0,0.0312,2988,True,False
38,2020-09-15,180,SC,Chapecó,4204202,city,6328,2871.57333,26,58,1,0.0092,220367,True,False
38,2020-09-15,160,SC,Cocal do Sul,4204251,city,404,2421.48166,8,15,0,0.0371,16684,True,False
38,2020-09-15,153,SC,Concórdia,4204301,city,2882,3861.1487,15,22,0,0.0076,74641,True,False
38,2020-09-15,125,SC,Cordilheira Alta,4204350,city,63,1414.77656,0,1,0,0.0159,4453,True,False
38,2020-09-15,131,SC,Coronel Freitas,4204400,city,224,2244.2641,0,1,0,0.0045,9981,True,False
38,2020-09-15,106,SC,Coronel Martins,4204459,city,8,313.84857,0,0,0,0.0,2549,True,False
38,2020-09-15,105,SC,Correia Pinto,4204558,city,302,2360.29699,3,6,0,0.0199,12795,True,False
38,2020-09-15,116,SC,Corupá,4204509,city,325,2042.86882,0,5,0,0.0154,15909,True,False
38,2020-09-15,180,SC,Criciúma,4204608,city,6482,3012.27775,94,85,1,0.0131,215186,True,False
38,2020-09-15,134,SC,Cunha Porã,4204707,city,99,893.01822,0,0,0,0.0,11086,True,False
38,2020-09-15,108,SC,Cunhataí,4204756,city,7,356.7788,0,0,0,0.0,1962,True,False
38,2020-09-15,113,SC,Curitibanos,4204806,city,621,1562.46069,2,8,0,0.0129,39745,True,False
38,2020-09-15,111,SC,Descanso,4204905,city,98,1187.87879,1,1,0,0.0102,8250,True,False
38,2020-09-15,116,SC,Dionísio Cerqueira,4205001,city,82,529.10053,0,4,0,0.0488,15498,True,False
38,2020-09-15,108,SC,Dona Emma,4205100,city,108,2604.92041,1,0,0,0.0,4146,True,False
38,2020-09-15,110,SC,Doutor Pedrinho,4205159,city,68,1673.22835,0,2,0,0.0294,4064,True,False
38,2020-09-15,125,SC,Entre Rios,4205175,city,305,9522.32282,1,4,0,0.0131,3203,True,False
38,2020-09-15,102,SC,Ermo,4205191,city,73,3538.53611,0,1,0,0.0137,2063,True,False
38,2020-09-15,104,SC,Erval Velho,4205209,city,143,3241.16047,0,3,0,0.021,4412,True,False
38,2020-09-15,142,SC,Faxinal dos Guedes,4205308,city,375,3515.51514,5,4,0,0.0107,10667,True,False
38,2020-09-15,90,SC,Flor do Sertão,4205357,city,13,821.74463,0,0,0,0.0,1582,True,False
38,2020-09-15,188,SC,Florianópolis,4205407,city,12195,2434.26292,105,127,0,0.0104,500973,True,False
38,2020-09-15,72,SC,Formosa do Sul,4205431,city,82,3266.93227,0,1,0,0.0122,2510,True,False
38,2020-09-15,161,SC,Forquilhinha,4205456,city,865,3228.45519,4,8,0,0.0092,26793,True,False
