date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-06,PB,Água Branca,city,7,1,True,10234,2500106,68.39945,0.1429
2020-06-06,PB,Aguiar,city,1,0,True,5640,2500205,17.7305,0.0
2020-06-06,PB,Alagoa Grande,city,117,1,True,28496,2500304,410.58394,0.0085
2020-06-06,PB,Alagoa Nova,city,54,2,True,20849,2500403,259.00523,0.037
2020-06-06,PB,Alagoinha,city,154,0,True,14489,2500502,1062.87528,0.0
2020-06-06,PB,Alcantil,city,4,0,True,5492,2500536,72.83321,0.0
2020-06-06,PB,Alhandra,city,193,6,True,19588,2500601,985.29712,0.0311
2020-06-06,PB,Amparo,city,12,0,True,2238,2500734,536.19303,0.0
2020-06-06,PB,Aparecida,city,8,0,True,8347,2500775,95.84282,0.0
2020-06-06,PB,Araçagi,city,69,0,True,16987,2500809,406.19297,0.0
2020-06-06,PB,Arara,city,25,0,True,13470,2500908,185.59762,0.0
2020-06-06,PB,Araruna,city,5,0,True,20312,2501005,24.61599,0.0
2020-06-06,PB,Areia,city,73,1,True,22819,2501104,319.90885,0.0137
2020-06-06,PB,Areia de Baraúnas,city,1,0,True,2128,2501153,46.99248,0.0
2020-06-06,PB,Areial,city,16,1,True,6998,2501203,228.63675,0.0625
2020-06-06,PB,Aroeiras,city,42,0,True,19153,2501302,219.2868,0.0
2020-06-06,PB,Assunção,city,18,0,True,3990,2501351,451.12782,0.0
2020-06-06,PB,Baía da Traição,city,64,1,True,8993,2501401,711.66463,0.0156
2020-06-06,PB,Bananeiras,city,38,0,True,21318,2501500,178.25312,0.0
2020-06-06,PB,Baraúna,city,53,0,True,4892,2501534,1083.40147,0.0
2020-06-06,PB,Barra de Santana,city,23,0,True,8359,2501575,275.15253,0.0
2020-06-06,PB,Barra de Santa Rosa,city,12,0,True,15384,2501609,78.00312,0.0
2020-06-06,PB,Barra de São Miguel,city,3,1,True,6036,2501708,49.70179,0.3333
2020-06-06,PB,Bayeux,city,469,27,True,96880,2501807,484.10405,0.0576
2020-06-06,PB,Belém,city,73,0,True,17676,2501906,412.98936,0.0
2020-06-06,PB,Belém do Brejo do Cruz,city,3,0,True,7342,2502003,40.8608,0.0
2020-06-06,PB,Bernardino Batista,city,1,0,True,3501,2502052,28.56327,0.0
2020-06-06,PB,Boa Ventura,city,1,0,True,5366,2502102,18.63586,0.0
2020-06-06,PB,Boa Vista,city,41,0,True,7051,2502151,581.4778,0.0
2020-06-06,PB,Bom Jesus,city,1,0,True,2561,2502201,39.04725,0.0
2020-06-06,PB,Bom Sucesso,city,2,0,True,4975,2502300,40.20101,0.0
2020-06-06,PB,Bonito de Santa Fé,city,1,0,True,11917,2502409,8.39137,0.0
2020-06-06,PB,Boqueirão,city,41,1,True,17804,2502508,230.28533,0.0244
2020-06-06,PB,Borborema,city,2,0,True,5263,2502706,38.00114,0.0
2020-06-06,PB,Brejo do Cruz,city,10,1,True,14122,2502805,70.8115,0.1
2020-06-06,PB,Brejo dos Santos,city,1,0,True,6449,2502904,15.50628,0.0
2020-06-06,PB,Caaporã,city,467,6,True,21828,2503001,2139.45391,0.0128
2020-06-06,PB,Cabaceiras,city,2,0,True,5611,2503100,35.64427,0.0
2020-06-06,PB,Cabedelo,city,1095,8,True,67736,2503209,1616.57021,0.0073
2020-06-06,PB,Cachoeira dos Índios,city,11,1,True,10244,2503308,107.37993,0.0909
2020-06-06,PB,Cacimba de Areia,city,5,0,True,3682,2503407,135.79576,0.0
2020-06-06,PB,Cacimba de Dentro,city,30,0,True,17187,2503506,174.55053,0.0
2020-06-06,PB,Cacimbas,city,6,0,True,7173,2503555,83.64701,0.0
2020-06-06,PB,Caiçara,city,29,1,True,7201,2503605,402.72184,0.0345
2020-06-06,PB,Cajazeiras,city,143,5,True,61993,2503704,230.6712,0.035
2020-06-06,PB,Cajazeirinhas,city,1,0,True,3193,2503753,31.31851,0.0
2020-06-06,PB,Caldas Brandão,city,21,0,True,6014,2503803,349.18523,0.0
2020-06-06,PB,Campina Grande,city,2322,41,True,409731,2504009,566.71328,0.0177
2020-06-06,PB,Capim,city,52,1,True,6523,2504033,797.17921,0.0192
2020-06-06,PB,Caraúbas,city,1,0,True,4162,2504074,24.02691,0.0
2020-06-06,PB,Carrapateira,city,1,0,True,2659,2504108,37.60812,0.0
2020-06-06,PB,Casserengue,city,23,0,True,7468,2504157,307.98072,0.0
2020-06-06,PB,Catingueira,city,5,0,True,4932,2504207,101.37875,0.0
2020-06-06,PB,Catolé do Rocha,city,62,4,True,30546,2504306,202.97257,0.0645
2020-06-06,PB,Caturité,city,16,0,True,4852,2504355,329.76092,0.0
2020-06-06,PB,Conceição,city,7,0,True,18982,2504405,36.87704,0.0
2020-06-06,PB,Condado,city,45,0,True,6654,2504504,676.28494,0.0
2020-06-06,PB,Conde,city,135,2,True,24670,2504603,547.22335,0.0148
2020-06-06,PB,Congo,city,11,1,True,4786,2504702,229.83702,0.0909
2020-06-06,PB,Coremas,city,17,0,True,15445,2504801,110.06798,0.0
2020-06-06,PB,Coxixola,city,7,0,True,1921,2504850,364.39355,0.0
2020-06-06,PB,Cruz do Espírito Santo,city,133,9,True,17319,2504900,767.94272,0.0677
2020-06-06,PB,Cubati,city,3,0,True,7797,2505006,38.47634,0.0
2020-06-06,PB,Cuité,city,10,1,True,20338,2505105,49.16904,0.1
2020-06-06,PB,Cuité de Mamanguape,city,13,0,True,6353,2505238,204.62773,0.0
2020-06-06,PB,Cuitegi,city,56,1,True,6803,2505204,823.16625,0.0179
2020-06-06,PB,Curral de Cima,city,10,0,True,5227,2505279,191.31433,0.0
2020-06-06,PB,Curral Velho,city,1,0,True,2516,2505303,39.74563,0.0
2020-06-06,PB,Damião,city,2,0,True,5330,2505352,37.52345,0.0
2020-06-06,PB,Desterro,city,12,0,True,8297,2505402,144.63059,0.0
2020-06-06,PB,Diamante,city,1,0,True,6552,2505600,15.26252,0.0
2020-06-06,PB,Dona Inês,city,3,0,True,10453,2505709,28.69989,0.0
2020-06-06,PB,Duas Estradas,city,30,0,True,3596,2505808,834.26029,0.0
2020-06-06,PB,Emas,city,1,0,True,3522,2505907,28.39296,0.0
2020-06-06,PB,Esperança,city,106,0,True,33007,2506004,321.144,0.0
2020-06-06,PB,Fagundes,city,10,0,True,11253,2506103,88.86519,0.0
2020-06-06,PB,Gado Bravo,city,42,1,True,8316,2506251,505.05051,0.0238
2020-06-06,PB,Guarabira,city,867,4,True,58833,2506301,1473.66274,0.0046
2020-06-06,PB,Gurinhém,city,59,0,True,14129,2506400,417.58086,0.0
2020-06-06,PB,Gurjão,city,15,1,True,3428,2506509,437.57293,0.0667
2020-06-06,PB,Ibiara,city,5,0,True,5929,2506608,84.33125,0.0
2020-06-06,PB,Igaracy,city,2,0,True,6117,2502607,32.69577,0.0
2020-06-06,PB,Imaculada,city,9,0,True,11819,2506707,76.14857,0.0
2020-06-06,PB,Ingá,city,92,0,True,18103,2506806,508.20306,0.0
2020-06-06,PB,Itabaiana,city,289,3,True,24477,2506905,1180.70025,0.0104
2020-06-06,PB,Itaporanga,city,3,1,True,24692,2507002,12.14968,0.3333
2020-06-06,PB,Itapororoca,city,41,2,True,18664,2507101,219.67424,0.0488
2020-06-06,PB,Itatuba,city,64,1,True,10962,2507200,583.83507,0.0156
2020-06-06,PB,Jacaraú,city,23,1,True,14431,2507309,159.37911,0.0435
2020-06-06,PB,Jericó,city,2,0,True,7739,2507408,25.84313,0.0
2020-06-06,PB,João Pessoa,city,5918,167,True,809015,2507507,731.50683,0.0282
2020-06-06,PB,Joca Claudino,city,1,0,True,2636,2513653,37.93627,0.0
2020-06-06,PB,Juarez Távora,city,43,0,True,7936,2507606,541.83468,0.0
2020-06-06,PB,Juazeirinho,city,60,0,True,18171,2507705,330.19647,0.0
2020-06-06,PB,Junco do Seridó,city,12,1,True,7150,2507804,167.83217,0.0833
2020-06-06,PB,Juripiranga,city,148,1,True,10756,2507903,1375.9762,0.0068
2020-06-06,PB,Juru,city,5,0,True,9867,2508000,50.67396,0.0
2020-06-06,PB,Lagoa,city,3,0,True,4666,2508109,64.2949,0.0
2020-06-06,PB,Lagoa de Dentro,city,9,0,True,7719,2508208,116.59541,0.0
2020-06-06,PB,Lagoa Seca,city,140,3,True,27503,2508307,509.03538,0.0214
2020-06-06,PB,Lastro,city,1,0,True,2737,2508406,36.53635,0.0
2020-06-06,PB,Livramento,city,0,0,True,7256,2508505,,0.0
2020-06-06,PB,Logradouro,city,11,0,True,4332,2508554,253.92428,0.0
2020-06-06,PB,Lucena,city,94,1,True,13080,2508604,718.65443,0.0106
2020-06-06,PB,Mãe d'Água,city,8,0,True,4009,2508703,199.55101,0.0
2020-06-06,PB,Malta,city,18,0,True,5759,2508802,312.55426,0.0
2020-06-06,PB,Mamanguape,city,266,4,True,44882,2508901,592.66521,0.015
2020-06-06,PB,Manaíra,city,2,0,True,10955,2509008,18.2565,0.0
2020-06-06,PB,Marcação,city,8,0,True,8558,2509057,93.47978,0.0
2020-06-06,PB,Mari,city,154,6,True,21837,2509107,705.22508,0.039
2020-06-06,PB,Marizópolis,city,4,1,True,6617,2509156,60.45036,0.25
2020-06-06,PB,Massaranduba,city,50,0,True,13918,2509206,359.24702,0.0
2020-06-06,PB,Mataraca,city,31,1,True,8434,2509305,367.55988,0.0323
2020-06-06,PB,Matinhas,city,19,0,True,4500,2509339,422.22222,0.0
2020-06-06,PB,Mato Grosso,city,7,1,True,2908,2509370,240.71527,0.1429
2020-06-06,PB,Maturéia,city,11,0,True,6569,2509396,167.45319,0.0
2020-06-06,PB,Mogeiro,city,9,1,True,13284,2509404,67.75068,0.1111
2020-06-06,PB,Montadas,city,13,0,True,5669,2509503,229.31734,0.0
2020-06-06,PB,Monteiro,city,33,0,True,33222,2509701,99.33177,0.0
2020-06-06,PB,Mulungu,city,40,0,True,9902,2509800,403.9588,0.0
2020-06-06,PB,Natuba,city,11,0,True,10454,2509909,105.22288,0.0
2020-06-06,PB,Nazarezinho,city,1,0,True,7301,2510006,13.69675,0.0
2020-06-06,PB,Nova Floresta,city,4,0,True,10638,2510105,37.60105,0.0
2020-06-06,PB,Nova Olinda,city,3,0,True,5949,2510204,50.42864,0.0
2020-06-06,PB,Nova Palmeira,city,6,0,True,4906,2510303,122.29923,0.0
2020-06-06,PB,Olho d'Água,city,19,0,True,6526,2510402,291.14312,0.0
2020-06-06,PB,Olivedos,city,6,0,True,3932,2510501,152.5941,0.0
2020-06-06,PB,Ouro Velho,city,1,0,True,3039,2510600,32.90556,0.0
2020-06-06,PB,Passagem,city,13,0,True,2419,2510709,537.41215,0.0
2020-06-06,PB,Patos,city,741,25,True,107605,2510808,688.62971,0.0337
2020-06-06,PB,Paulista,city,32,0,True,12347,2510907,259.17227,0.0
2020-06-06,PB,Pedra Lavrada,city,9,0,True,7843,2511103,114.75201,0.0
2020-06-06,PB,Pedras de Fogo,city,347,5,True,28458,2511202,1219.34078,0.0144
2020-06-06,PB,Pedro Régis,city,1,0,True,6089,2512721,16.42306,0.0
2020-06-06,PB,Piancó,city,23,2,True,16075,2511301,143.07932,0.087
2020-06-06,PB,Picuí,city,31,0,True,18703,2511400,165.74881,0.0
2020-06-06,PB,Pilar,city,54,1,True,11917,2511509,453.13418,0.0185
2020-06-06,PB,Pilões,city,14,0,True,6635,2511608,211.00226,0.0
2020-06-06,PB,Pilõezinhos,city,69,0,True,4976,2511707,1386.65595,0.0
2020-06-06,PB,Pirpirituba,city,27,0,True,10579,2511806,255.22261,0.0
2020-06-06,PB,Pitimbu,city,139,4,True,19065,2511905,729.08471,0.0288
2020-06-06,PB,Pocinhos,city,11,0,True,18564,2512002,59.25447,0.0
2020-06-06,PB,Pombal,city,81,0,True,32801,2512101,246.94369,0.0
2020-06-06,PB,Prata,city,1,0,True,4209,2512200,23.75861,0.0
2020-06-06,PB,Princesa Isabel,city,15,0,True,23345,2512309,64.25359,0.0
2020-06-06,PB,Puxinanã,city,63,0,True,13680,2512408,460.52632,0.0
2020-06-06,PB,Queimadas,city,151,0,True,43967,2512507,343.4394,0.0
2020-06-06,PB,Quixaba,city,6,0,True,1956,2512606,306.74847,0.0
2020-06-06,PB,Remígio,city,80,2,True,19621,2512705,407.72642,0.025
2020-06-06,PB,Riachão,city,1,0,True,3588,2512747,27.87068,0.0
2020-06-06,PB,Riachão do Bacamarte,city,118,0,True,4521,2512754,2610.04203,0.0
2020-06-06,PB,Riachão do Poço,city,10,1,True,4509,2512762,221.77866,0.1
