Data,João Pessoa,Santa Rita,Campina Grande,Patos,Cabedelo,Guarabira,Bayeux
09/04/2020,58,5,3,4,4,0,1
10/04/2020,64,6,3,4,4,0,1
11/04/2020,78,4,3,4,4,0,1
12/04/2020,86,7,3,4,5,0,1
13/04/2020,103,10,3,4,5,0,4
14/04/2020,115,12,3,4,5,0,4
15/04/2020,124,14,4,4,6,0,4
16/04/2020,142,17,8,5,7,0,6
17/04/2020,148,17,8,5,8,0,6
18/04/2020,163,21,12,7,9,0,8
19/04/2020,172,20,12,8,9,0,8
20/04/2020,185,20,12,8,11,0,9
21/04/2020,205,24,20,8,12,0,9
22/04/2020,230,25,24,8,15,0,10
23/04/2020,254,25,30,8,15,3,10
24/04/2020,286,29,35,8,16,3,12
25/04/2020,313,37,39,11,16,3,15
26/04/2020,349,40,39,11,19,3,15
27/04/2020,410,47,42,12,22,3,17
28/04/2020,436,61,45,13,22,4,19
29/04/2020,499,72,51,17,26,4,30
30/04/2020,563,85,51,19,28,7,34
01/05/2020,614,96,53,21,29,10,39
02/05/2020,701,100,61,23,39,15,41
03/05/2020,711,111,62,24,39,21,43
04/05/2020,802,122,67,27,44,24,44
05/05/2020,865,129,74,33,51,28,45
06/05/2020,907,162,78,40,57,36,58
07/05/2020,982,162,89,46,75,52,59
08/05/2020,1062,169,89,65,82,60,62
09/05/2020,1114,178,100,74,83,73,64
10/05/2020,1179,208,108,93,89,73,68
11/05/2020,1230,217,125,109,98,89,69
12/05/2020,1316,233,134,128,113,103,70
13/05/2020,1368,250,155,138,140,106,74
14/05/2020,1451,271,160,174,164,120,76
15/05/2020,1478,288,261,219,189,131,83
16/05/2020,1540,303,280,234,192,145,86
17/05/2020,1697,306,290,253,193,166,94
18/05/2020,1799,319,299,298,208,184,134
19/05/2020,1889,343,329,321,265,205,182
