epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
2,2021-01-13,247,PB,Cuité,2505105,city,743,3653.97856,7,4,0,0.0054,20334,True,False
2,2021-01-12,246,PB,Cuité,2505105,city,736,3619.55346,16,4,0,0.0054,20334,False,False
2,2021-01-11,245,PB,Cuité,2505105,city,720,3540.86751,0,4,0,0.0056,20334,False,True
2,2021-01-10,244,PB,Cuité,2505105,city,720,3540.86751,5,4,0,0.0056,20334,False,False
1,2021-01-09,243,PB,Cuité,2505105,city,715,3516.27815,12,4,0,0.0056,20334,False,False
1,2021-01-08,242,PB,Cuité,2505105,city,703,3457.2637,2,4,0,0.0057,20334,False,False
1,2021-01-07,241,PB,Cuité,2505105,city,701,3447.42795,8,4,0,0.0057,20334,False,False
1,2021-01-06,240,PB,Cuité,2505105,city,693,3408.08498,25,4,0,0.0058,20334,False,False
1,2021-01-05,239,PB,Cuité,2505105,city,668,3285.13819,1,4,0,0.006,20334,False,False
1,2021-01-04,238,PB,Cuité,2505105,city,667,3280.22032,0,4,0,0.006,20334,False,False
1,2021-01-03,237,PB,Cuité,2505105,city,667,3280.22032,0,4,0,0.006,20334,False,False
53,2021-01-02,236,PB,Cuité,2505105,city,667,3280.22032,1,4,0,0.006,20334,False,False
53,2021-01-01,235,PB,Cuité,2505105,city,666,3275.30245,11,4,0,0.006,20334,False,False
53,2020-12-31,234,PB,Cuité,2505105,city,655,3221.20586,47,4,0,0.0061,20334,False,False
53,2020-12-30,233,PB,Cuité,2505105,city,608,2990.0659,0,4,0,0.0066,20334,False,True
53,2020-12-29,232,PB,Cuité,2505105,city,608,2990.0659,0,4,0,0.0066,20334,False,False
53,2020-12-28,231,PB,Cuité,2505105,city,608,2990.0659,0,4,0,0.0066,20334,False,True
53,2020-12-27,230,PB,Cuité,2505105,city,608,2990.0659,0,4,0,0.0066,20334,False,False
52,2020-12-26,229,PB,Cuité,2505105,city,608,2990.0659,9,4,0,0.0066,20334,False,False
52,2020-12-25,228,PB,Cuité,2505105,city,599,2945.80506,0,4,0,0.0067,20334,False,True
52,2020-12-24,227,PB,Cuité,2505105,city,599,2945.80506,0,4,0,0.0067,20334,False,False
52,2020-12-23,226,PB,Cuité,2505105,city,599,2945.80506,36,4,0,0.0067,20334,False,False
52,2020-12-22,225,PB,Cuité,2505105,city,563,2768.76168,0,4,0,0.0071,20334,False,True
52,2020-12-21,224,PB,Cuité,2505105,city,563,2768.76168,0,4,0,0.0071,20334,False,True
