epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
46,2020-11-12,176,PB,Água Branca,2500106,city,191,1853.28935,0,2,0,0.0105,10306,False,True
46,2020-11-12,178,PB,Aguiar,2500205,city,37,657.19361,0,0,0,0.0,5630,False,True
46,2020-11-12,203,PB,Alagoa Grande,2500304,city,1669,5868.70143,0,29,0,0.0174,28439,False,True
46,2020-11-12,205,PB,Alagoa Nova,2500403,city,404,1931.07404,0,10,0,0.0248,20921,False,True
46,2020-11-12,193,PB,Alagoinha,2500502,city,1063,7300.82418,0,12,0,0.0113,14560,False,True
46,2020-11-12,170,PB,Alcantil,2500536,city,80,1452.16918,0,0,0,0.0,5509,False,True
46,2020-11-12,148,PB,Algodão de Jandaíra,2500577,city,31,1202.94917,0,0,0,0.0,2577,False,True
46,2020-11-12,198,PB,Alhandra,2500601,city,707,3583.92052,0,19,0,0.0269,19727,False,True
46,2020-11-12,182,PB,Amparo,2500734,city,18,799.6446,0,0,0,0.0,2251,False,True
46,2020-11-12,177,PB,Aparecida,2500775,city,370,4396.38783,0,6,0,0.0162,8416,False,True
46,2020-11-12,199,PB,Araçagi,2500809,city,545,3220.84983,0,6,0,0.011,16921,False,True
46,2020-11-12,182,PB,Arara,2500908,city,239,1764.87963,0,6,0,0.0251,13542,False,True
46,2020-11-12,175,PB,Araruna,2501005,city,282,1378.09705,0,8,0,0.0284,20463,False,True
46,2020-11-12,202,PB,Areia,2501104,city,531,2343.75,0,5,0,0.0094,22656,False,True
46,2020-11-12,171,PB,Areia de Baraúnas,2501153,city,13,614.36673,0,0,0,0.0,2116,False,True
46,2020-11-12,184,PB,Areial,2501203,city,98,1394.62075,0,2,0,0.0204,7027,False,True
46,2020-11-12,187,PB,Aroeiras,2501302,city,239,1250.26156,0,1,0,0.0042,19116,False,True
46,2020-11-12,172,PB,Assunção,2501351,city,47,1166.54257,0,0,0,0.0,4029,False,True
46,2020-11-12,190,PB,Baía da Traição,2501401,city,790,8685.13632,0,7,0,0.0089,9096,False,True
46,2020-11-12,189,PB,Bananeiras,2501500,city,460,2162.77211,0,2,0,0.0043,21269,False,True
46,2020-11-12,168,PB,Baraúna,2501534,city,143,2880.74134,0,0,0,0.0,4964,False,True
46,2020-11-12,187,PB,Barra de Santana,2501575,city,102,1221.7032,0,3,0,0.0294,8349,False,True
46,2020-11-12,176,PB,Barra de Santa Rosa,2501609,city,128,825.96632,0,1,0,0.0078,15497,False,True
46,2020-11-12,205,PB,Barra de São Miguel,2501708,city,74,1220.11542,0,1,0,0.0135,6065,False,True
46,2020-11-12,219,PB,Bayeux,2501807,city,2234,2298.28297,0,118,0,0.0528,97203,False,True
46,2020-11-12,185,PB,Belém,2501906,city,1129,6376.72974,0,17,0,0.0151,17705,False,True
46,2020-11-12,179,PB,Belém do Brejo do Cruz,2502003,city,147,2000.27215,0,2,0,0.0136,7349,False,True
46,2020-11-12,163,PB,Bernardino Batista,2502052,city,129,3648.19005,0,0,0,0.0,3536,False,True
46,2020-11-12,170,PB,Boa Ventura,2502102,city,135,2543.81006,0,2,0,0.0148,5307,False,True
46,2020-11-12,181,PB,Boa Vista,2502151,city,147,2059.97758,0,1,0,0.0068,7136,False,True
46,2020-11-12,207,PB,Bom Jesus,2502201,city,54,2097.08738,0,1,0,0.0185,2575,False,True
46,2020-11-12,161,PB,Bom Sucesso,2502300,city,28,564.97175,0,0,0,0.0,4956,False,True
46,2020-11-12,167,PB,Bonito de Santa Fé,2502409,city,198,1646.98054,0,8,0,0.0404,12022,False,True
46,2020-11-12,202,PB,Boqueirão,2502508,city,658,3682.14885,0,8,0,0.0122,17870,False,True
46,2020-11-12,190,PB,Borborema,2502706,city,57,1078.11613,0,0,0,0.0,5287,False,True
46,2020-11-12,203,PB,Brejo do Cruz,2502805,city,627,4413.62804,0,9,0,0.0144,14206,False,True
46,2020-11-12,161,PB,Brejo dos Santos,2502904,city,76,1175.74257,0,0,0,0.0,6464,False,True
46,2020-11-12,203,PB,Caaporã,2503001,city,997,4541.10681,0,18,0,0.0181,21955,False,True
46,2020-11-12,175,PB,Cabaceiras,2503100,city,138,2437.73185,0,0,0,0.0,5661,False,True
46,2020-11-12,226,PB,Cabedelo,2503209,city,3411,4960.22802,0,80,0,0.0235,68767,False,True
46,2020-11-12,178,PB,Cachoeira dos Índios,2503308,city,239,2319.26249,0,7,0,0.0293,10305,False,True
46,2020-11-12,168,PB,Cacimba de Areia,2503407,city,13,351.82679,0,0,0,0.0,3695,False,True
46,2020-11-12,181,PB,Cacimba de Dentro,2503506,city,378,2200.489,0,9,0,0.0238,17178,False,True
46,2020-11-12,175,PB,Cacimbas,2503555,city,65,902.90318,0,2,0,0.0308,7199,False,True
46,2020-11-12,196,PB,Caiçara,2503605,city,462,6424.69754,0,10,0,0.0216,7191,False,True
46,2020-11-12,206,PB,Cajazeiras,2503704,city,2823,4532.10037,0,54,0,0.0191,62289,False,True
46,2020-11-12,189,PB,Cajazeirinhas,2503753,city,39,1216.84867,0,0,0,0.0,3205,False,True
46,2020-11-12,179,PB,Caldas Brandão,2503803,city,336,5557.39332,0,2,0,0.006,6046,False,True
46,2020-11-12,150,PB,Camalaú,2503902,city,33,547.17294,0,0,0,0.0,6031,False,True
46,2020-11-12,231,PB,Campina Grande,2504009,city,13919,3379.9814,0,411,0,0.0295,411807,False,True
46,2020-11-12,192,PB,Capim,2504033,city,157,2371.60121,0,7,0,0.0446,6620,False,True
46,2020-11-12,163,PB,Caraúbas,2504074,city,69,1648.74552,0,0,0,0.0,4185,False,True
46,2020-11-12,175,PB,Carrapateira,2504108,city,65,2419.05471,0,1,0,0.0154,2687,False,True
46,2020-11-12,196,PB,Casserengue,2504157,city,417,5560.74143,0,5,0,0.012,7499,False,True
46,2020-11-12,199,PB,Catingueira,2504207,city,20,405.26849,0,2,0,0.1,4935,False,True
46,2020-11-12,180,PB,Catolé do Rocha,2504306,city,798,2600.70395,0,19,0,0.0238,30684,False,True
46,2020-11-12,181,PB,Caturité,2504355,city,122,2502.5641,0,1,0,0.0082,4875,False,True
46,2020-11-12,183,PB,Conceição,2504405,city,620,3261.95612,0,8,0,0.0129,19007,False,True
46,2020-11-12,191,PB,Condado,2504504,city,163,2448.18264,0,5,0,0.0307,6658,False,True
46,2020-11-12,206,PB,Conde,2504603,city,893,3570.57177,0,17,0,0.019,25010,False,True
46,2020-11-12,209,PB,Congo,2504702,city,98,2047.2112,0,3,0,0.0306,4787,False,True
46,2020-11-12,205,PB,Coremas,2504801,city,295,1910.49802,0,8,0,0.0271,15441,False,True
46,2020-11-12,203,PB,Coxixola,2504850,city,61,3152.45478,0,1,0,0.0164,1935,False,True
46,2020-11-12,206,PB,Cruz do Espírito Santo,2504900,city,646,3699.67356,0,20,0,0.031,17461,False,True
46,2020-11-12,168,PB,Cubati,2505006,city,90,1149.13177,0,1,0,0.0111,7832,False,True
46,2020-11-12,185,PB,Cuité,2505105,city,344,1691.74781,0,4,0,0.0116,20334,False,True
46,2020-11-12,186,PB,Cuité de Mamanguape,2505238,city,144,2265.57583,0,9,0,0.0625,6356,False,True
46,2020-11-12,190,PB,Cuitegi,2505204,city,413,6095.94096,0,10,0,0.0242,6775,False,True
46,2020-11-12,183,PB,Curral de Cima,2505279,city,95,1820.62093,0,2,0,0.0211,5218,False,True
46,2020-11-12,164,PB,Curral Velho,2505303,city,42,1671.97452,0,0,0,0.0,2512,False,True
46,2020-11-12,174,PB,Damião,2505352,city,50,931.0987,0,1,0,0.02,5370,False,True
46,2020-11-12,175,PB,Desterro,2505402,city,95,1142.51353,0,3,0,0.0316,8315,False,True
46,2020-11-12,162,PB,Diamante,2505600,city,304,4656.86275,0,4,0,0.0132,6528,False,True
46,2020-11-12,175,PB,Dona Inês,2505709,city,132,1267.64621,0,3,0,0.0227,10413,False,True
46,2020-11-12,186,PB,Duas Estradas,2505808,city,97,2707.98437,0,2,0,0.0206,3582,False,True
46,2020-11-12,175,PB,Emas,2505907,city,65,1836.67703,0,5,0,0.0769,3539,False,True
46,2020-11-12,201,PB,Esperança,2506004,city,809,2436.82039,0,14,0,0.0173,33199,False,True
46,2020-11-12,177,PB,Fagundes,2506103,city,135,1203.74498,0,5,0,0.037,11215,False,True
46,2020-11-12,152,PB,Frei Martinho,2506202,city,21,702.57611,0,0,0,0.0,2989,False,True
46,2020-11-12,187,PB,Gado Bravo,2506251,city,110,1324.82235,0,2,0,0.0182,8303,False,True
46,2020-11-12,204,PB,Guarabira,2506301,city,4716,7977.67064,0,72,0,0.0153,59115,False,True
46,2020-11-12,202,PB,Gurinhém,2506400,city,461,3263.25476,0,10,0,0.0217,14127,False,True
46,2020-11-12,177,PB,Gurjão,2506509,city,49,1419.05589,0,2,0,0.0408,3453,False,True
46,2020-11-12,178,PB,Ibiara,2506608,city,183,3100.11858,0,2,0,0.0109,5903,False,True
46,2020-11-12,235,PB,Igaracy,2502607,city,19,311.22031,0,1,0,0.0526,6105,False,True
46,2020-11-12,196,PB,Imaculada,2506707,city,117,987.50844,0,0,0,0.0,11848,False,True
46,2020-11-12,148,PB,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,True
46,2020-11-12,187,PB,Ingá,2506806,city,1623,8945.10582,0,21,0,0.0129,18144,False,True
46,2020-11-12,206,PB,Itabaiana,2506905,city,1205,4934.68201,0,24,0,0.0199,24419,False,True
46,2020-11-12,203,PB,Itaporanga,2507002,city,1110,4470.75882,0,18,0,0.0162,24828,False,True
46,2020-11-12,205,PB,Itapororoca,2507101,city,983,5222.33438,0,10,0,0.0102,18823,False,True
46,2020-11-12,185,PB,Itatuba,2507200,city,367,3331.51779,0,5,0,0.0136,11016,False,True
46,2020-11-12,183,PB,Jacaraú,2507309,city,342,2366.78201,0,10,0,0.0292,14450,False,True
46,2020-11-12,178,PB,Jericó,2507408,city,71,916.72046,0,3,0,0.0423,7745,False,True
46,2020-11-12,240,PB,João Pessoa,2507507,city,33894,4145.99926,0,1025,0,0.0302,817511,False,True
46,2020-11-12,189,PB,Joca Claudino,2513653,city,25,947.32853,0,0,0,0.0,2639,False,True
46,2020-11-12,186,PB,Juarez Távora,2507606,city,449,5629.38816,0,6,0,0.0134,7976,False,True
46,2020-11-12,191,PB,Juazeirinho,2507705,city,288,1573.94251,0,2,0,0.0069,18298,False,True
46,2020-11-12,224,PB,Junco do Seridó,2507804,city,127,1765.11466,0,5,0,0.0394,7195,False,True
46,2020-11-12,190,PB,Juripiranga,2507903,city,612,5670.34189,0,12,0,0.0196,10793,False,True
46,2020-11-12,178,PB,Juru,2508000,city,214,2172.80942,0,2,0,0.0093,9849,False,True
46,2020-11-12,177,PB,Lagoa,2508109,city,25,537.28777,0,1,0,0.04,4653,False,True
46,2020-11-12,186,PB,Lagoa de Dentro,2508208,city,182,2352.33295,0,0,0,0.0,7737,False,True
46,2020-11-12,200,PB,Lagoa Seca,2508307,city,742,2686.75091,0,16,0,0.0216,27617,False,True
46,2020-11-12,181,PB,Lastro,2508406,city,41,1508.4621,0,0,0,0.0,2718,False,True
46,2020-11-12,169,PB,Livramento,2508505,city,111,1527.87337,0,0,0,0.0,7265,False,True
46,2020-11-12,181,PB,Logradouro,2508554,city,182,4165.71298,0,6,0,0.033,4369,False,True
