epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
3,2021-01-23,317,AM,Manaus,1302603,city,103787,4675.97473,0,4502,0,0.0434,2219580,False,True
3,2021-01-22,316,AM,Manaus,1302603,city,103787,4675.97473,0,4502,0,0.0434,2219580,False,True
3,2021-01-21,315,AM,Manaus,1302603,city,103787,4675.97473,655,4502,131,0.0434,2219580,True,False
3,2021-01-20,314,AM,Manaus,1302603,city,103132,4646.46465,3632,4371,114,0.0424,2219580,False,False
3,2021-01-19,313,AM,Manaus,1302603,city,99500,4482.83008,453,4257,100,0.0428,2219580,False,False
3,2021-01-18,312,AM,Manaus,1302603,city,99047,4462.42082,654,4157,85,0.042,2219580,False,False
3,2021-01-17,311,AM,Manaus,1302603,city,98393,4432.95578,862,4072,41,0.0414,2219580,False,False
2,2021-01-16,310,AM,Manaus,1302603,city,97531,4394.11961,1824,4031,56,0.0413,2219580,False,False
2,2021-01-15,309,AM,Manaus,1302603,city,95707,4311.9419,1730,3975,83,0.0415,2219580,False,False
2,2021-01-14,308,AM,Manaus,1302603,city,93977,4233.99923,2516,3892,36,0.0414,2219580,False,False
2,2021-01-13,307,AM,Manaus,1302603,city,91461,4120.64445,417,3856,56,0.0422,2219580,False,False
2,2021-01-12,306,AM,Manaus,1302603,city,91044,4101.85711,1045,3800,42,0.0417,2219580,False,False
2,2021-01-11,305,AM,Manaus,1302603,city,89999,4054.77613,429,3758,42,0.0418,2219580,False,False
2,2021-01-10,304,AM,Manaus,1302603,city,89570,4035.44815,461,3716,24,0.0415,2219580,False,False
1,2021-01-09,303,AM,Manaus,1302603,city,89109,4014.67845,1120,3692,42,0.0414,2219580,False,False
1,2021-01-08,302,AM,Manaus,1302603,city,87989,3964.21846,1261,3650,61,0.0415,2219580,False,False
1,2021-01-07,301,AM,Manaus,1302603,city,86728,3907.40591,1000,3589,37,0.0414,2219580,False,False
1,2021-01-06,300,AM,Manaus,1302603,city,85728,3862.35234,1418,3552,74,0.0414,2219580,False,False
1,2021-01-05,299,AM,Manaus,1302603,city,84310,3798.46638,870,3478,34,0.0413,2219580,False,False
1,2021-01-04,298,AM,Manaus,1302603,city,83440,3759.26977,254,3444,17,0.0413,2219580,False,False
