epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
1,2021-01-09,286,PB,Patos,2510808,city,7404,6843.38953,0,117,0,0.0158,108192,False,True
1,2021-01-08,285,PB,Patos,2510808,city,7404,6843.38953,61,117,0,0.0158,108192,True,False
1,2021-01-07,284,PB,Patos,2510808,city,7343,6787.00828,48,117,0,0.0159,108192,False,False
1,2021-01-06,283,PB,Patos,2510808,city,7295,6742.64271,47,117,1,0.016,108192,False,False
1,2021-01-05,282,PB,Patos,2510808,city,7248,6699.20142,42,116,1,0.016,108192,False,False
1,2021-01-04,281,PB,Patos,2510808,city,7206,6660.38154,15,115,0,0.016,108192,False,False
1,2021-01-03,280,PB,Patos,2510808,city,7191,6646.5173,35,115,0,0.016,108192,False,False
53,2021-01-02,279,PB,Patos,2510808,city,7156,6614.16741,5,115,1,0.0161,108192,False,False
53,2021-01-01,278,PB,Patos,2510808,city,7151,6609.54599,26,114,0,0.0159,108192,False,False
53,2020-12-31,277,PB,Patos,2510808,city,7125,6585.51464,99,114,0,0.016,108192,False,False
53,2020-12-30,276,PB,Patos,2510808,city,7026,6494.01065,0,114,0,0.0162,108192,False,True
53,2020-12-29,275,PB,Patos,2510808,city,7026,6494.01065,69,114,0,0.0162,108192,False,False
53,2020-12-28,274,PB,Patos,2510808,city,6957,6430.23514,0,114,0,0.0164,108192,False,True
53,2020-12-27,273,PB,Patos,2510808,city,6957,6430.23514,85,114,0,0.0164,108192,False,False
52,2020-12-26,272,PB,Patos,2510808,city,6872,6351.6711,28,114,1,0.0166,108192,False,False
52,2020-12-25,271,PB,Patos,2510808,city,6844,6325.79119,0,113,0,0.0165,108192,False,True
52,2020-12-24,270,PB,Patos,2510808,city,6844,6325.79119,6,113,1,0.0165,108192,False,False
52,2020-12-23,269,PB,Patos,2510808,city,6838,6320.24549,206,112,1,0.0164,108192,False,False
52,2020-12-22,268,PB,Patos,2510808,city,6632,6129.84324,0,111,0,0.0167,108192,False,True
52,2020-12-21,267,PB,Patos,2510808,city,6632,6129.84324,0,111,0,0.0167,108192,False,True
52,2020-12-20,266,PB,Patos,2510808,city,6632,6129.84324,195,111,1,0.0167,108192,False,False
51,2020-12-19,265,PB,Patos,2510808,city,6437,5949.6081,0,110,0,0.0171,108192,False,True
51,2020-12-18,264,PB,Patos,2510808,city,6437,5949.6081,210,110,0,0.0171,108192,False,False
51,2020-12-17,263,PB,Patos,2510808,city,6227,5755.50873,106,110,0,0.0177,108192,False,False
51,2020-12-16,262,PB,Patos,2510808,city,6121,5657.53475,158,110,2,0.018,108192,False,False
51,2020-12-15,261,PB,Patos,2510808,city,5963,5511.49808,17,108,1,0.0181,108192,False,False
51,2020-12-14,260,PB,Patos,2510808,city,5946,5495.78527,26,107,0,0.018,108192,False,False
51,2020-12-13,259,PB,Patos,2510808,city,5920,5471.75392,0,107,0,0.0181,108192,False,False
50,2020-12-12,258,PB,Patos,2510808,city,5920,5471.75392,22,107,1,0.0181,108192,False,False
50,2020-12-11,257,PB,Patos,2510808,city,5898,5451.4197,0,106,0,0.018,108192,False,True
50,2020-12-10,256,PB,Patos,2510808,city,5898,5451.4197,46,106,1,0.018,108192,False,False
50,2020-12-09,255,PB,Patos,2510808,city,5852,5408.90269,11,105,0,0.0179,108192,False,False
50,2020-12-08,254,PB,Patos,2510808,city,5841,5398.73558,10,105,0,0.018,108192,False,False
50,2020-12-07,253,PB,Patos,2510808,city,5831,5389.49275,38,105,0,0.018,108192,False,False
50,2020-12-06,252,PB,Patos,2510808,city,5793,5354.37001,0,105,0,0.0181,108192,False,False
49,2020-12-05,251,PB,Patos,2510808,city,5793,5354.37001,28,105,0,0.0181,108192,False,False
49,2020-12-04,250,PB,Patos,2510808,city,5765,5328.49009,26,105,7,0.0182,108192,False,False
49,2020-12-03,249,PB,Patos,2510808,city,5739,5304.45874,26,98,0,0.0171,108192,False,False
49,2020-12-02,248,PB,Patos,2510808,city,5713,5280.42739,28,98,0,0.0172,108192,False,False
49,2020-12-01,247,PB,Patos,2510808,city,5685,5254.54747,6,98,0,0.0172,108192,False,False
49,2020-11-30,246,PB,Patos,2510808,city,5679,5249.00177,0,98,0,0.0173,108192,False,False
49,2020-11-29,245,PB,Patos,2510808,city,5679,5249.00177,0,98,0,0.0173,108192,False,False
48,2020-11-28,244,PB,Patos,2510808,city,5679,5249.00177,3,98,0,0.0173,108192,False,False
48,2020-11-27,243,PB,Patos,2510808,city,5676,5246.22893,-4,98,1,0.0173,108192,False,False
48,2020-11-26,242,PB,Patos,2510808,city,5680,5249.92606,127,97,0,0.0171,108192,False,False
